T,0,0,0,68,26,BE,6,84
T,0,1,10,70,47,D6,7,AE
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,69,E6,49,6,F1
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,68,C7,E9,7,EB
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,76,26,DB,6,3C
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,72,97,3E,7,99
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,73,76,0D,6,1C
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,79,57,47,7,DE
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,72,36,4D,6,C8
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,6E,47,8B,7,A6
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,6A,66,5A,6,7D
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,74,E7,25,7,1F
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,74,D6,CB,6,FC
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,69,C7,45,7,3B
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,6A,66,89,6,0A
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,77,57,AE,7,32
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,6F,16,50,6,EE
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,6B,D7,36,7,FD
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,71,96,32,6,F6
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,6D,67,49,7,DC
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,70,86,14,6,F2
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,77,57,66,7,D0
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,72,D6,30,6,B7
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,6D,D7,A1,7,22
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,79,C6,91,6,9D
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,74,57,1F,7,DA
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,6B,6,99,6,2
F,0,0,0,6B,B6,BB,6,BB
T,0,1,10,74,67,9D,7,49
F,0,0,0,6B,B6,BB,6,BB
F,0,0,0,6B,B6,BB,6,BB
T,0,0,0,6B,76,7E,6,C5
F,0,0,0,6B,B6,BB,6,BB
